9/21/2011,Dead Island,PlayStation 3 » Action Adventure » Horror,,
9/14/2011,Driver: San Francisco,Xbox 360 » Driving » Mission-based,,
9/7/2011,Deus Ex: Human Revolution,PC » Action Adventure » Sci-Fi,,
8/31/2011,Deus Ex,PC » Action RPG » Sci-fi,,
8/24/2011,Red Faction: Armageddon,Xbox 360 » Action » Shooter » Third-Person » Sci-Fi,,
8/17/2011,Catherine,PlayStation 3 » Action Adventure » Horror,,
8/10/2011,Bastion and From Dust,"XBLA » Role-Playing » Action RPG (Bastion), XBLA » Strategy » General (From Dust)",,
8/3/2011,Call of Juarez: The Cartel,PC » Action » Shooter » First-Person » Modern,,
7/27/2011,The Legend of Zelda: Ocarina of Time 3D,3DS » Action Adventure » Fantasy,,
7/20/2011,F.E.A.R. 3,Xbox 360 » Action » Shooter » First-Person » Sci-Fi,,
7/13/2011,Shadows of the Damned,Xbox 360 » Action Adventure » Horror,,
7/6/2011,Alice: Madness Returns,PC » Action Adventure » Horror,,
6/29/2011,InFamous 2,PlayStation 3 » Action Adventure » Sci-Fi,,
6/22/2011,Duke Nukem Forever (for real this time),Xbox 360 » Action » Shooter » First-Person » Sci-Fi,,
6/15/2011,Hunted: The Demon's Forge,Xbox 360 » Action Adventure » Fantasy,,
6/8/2011,The Witcher 2,PC » Role-Playing » Action RPG,,
6/1/2011,L.A. Noire,Xbox 360 » Adventure » Third-Person » Modern,,
5/25/2011,Brink,Xbox 360 » Action » Shooter » First-Person » Sci-Fi,,
5/18/2011,Mortal Kombat,PlayStation 3 » Action » Fighting » 2D,,
5/11/2011,Castlevania: Symphony of the Night,PlayStation / XBLA » Action » Platformer » 2D,,
5/4/2011,Portal 2,PC » Puzzle » First-Person » Shooter,,
4/27/2011,Nintendo 3DS,N/A,,
4/20/2011,Crysis 2,PC » Action » Shooter,,
4/13/2011,Yakuza 4,PlayStation 3 » Action Adventure » Modern,,
4/6/2011,Pokémon White,DS » RPG,,
3/30/2011,Dragon Age II,PC » Role-Playing » Fantasy,,
3/23/2011,Kirby's Epic Yarn,Wii » Platformer » 2D,,
3/16/2011,Killzone 3,PlayStation 3 » Action » Shooter » First-Person,,
3/9/2011,Bulletstorm,Xbox 360 » Action » Shooter,,
3/2/2011,Two Worlds II,PC » Role-Playing,,
2/23/2011,MindJack,PlayStation 3 » Action » Shooter » Third-Person,,
2/16/2011,DC Universe Online,PC » Role-Playing » Massively Multiplayer Online » Fantasy,,
2/9/2011,Dead Space 2,PlayStation 3 » Action » Shooter » Third-Person » Sci-Fi,,
